pfamID	numSequences	numColumns	pdbid	pfamLine	eScore	queryStart	queryEnd	targetStart	targetEnd	percentIdentity	CHAIN_ID
DUF1775	359	282	3ESM	Q5Z3N8_NOCFA	6.00E-57	3	118	1	116	98.28	A
DUF179	1608	599	2HAF	C6YJW5_VIBCH	7.00E-97	19	182	1	164	100	A
DUF1794	505	467	2Q4N	Y1926_ARATH	1.00E-81	5	151	1	149	98.66	A
DUF1795	643	283	1TU1	A3L0X5_PSEAE	9.00E-75	10	139	1	130	100	A
DUF1801	1168	257	2KL4	Q9KB96_BACHD	2.00E-56	18	115	1	98	100	A
DUF1810	211	224	2JEK	F2VA23_MYCTU	1.00E-80	1	138	2	139	100	A
DUF1811	218	111	1SF9	D4G6L6_BACNA	1.00E-57	16	116	1	101	100	A
DUF1827	331	157	2QZI	Q5M594_STRT2	9.00E-52	2	96	2	97	98.96	A
DUF1831	337	118	2IAY	Q88V95_LACPL	1.00E-56	2	109	2	112	97.3	A
DUF1846	370	533	3BH1	Y2346_CORDI	0	1	486	1	486	100	A
DUF1863	272	622	3HYN	C4ZCS9_EUBR3	4.00E-59	23	132	1	113	95.58	A
DUF1870	224	182	1S4K	E7UY25_SALTY	1.00E-61	2	115	2	118	97.44	A
DUF1877	285	447	1RYL	D6I9L3_ECOLX	1.00E-86	1	156	3	165	95.71	A
DUF1896	201	187	2APL	Q7MW33_PORGI	9.00E-80	1	144	1	146	98.63	A
DUF1906	307	235	1SFS	P84136_GEOSE	5.00E-70	7	129	1	123	100	A
DUF192	807	255	3PJY	E0JYS8_RHIME	1.00E-48	21	120	1	107	93.46	A
DUF1929	464	276	2JKX	GAOA_GIBZE	1.00E-50	543	637	1	95	100	A
DUF1934	819	244	1R0U	E8VDY3_BACST	5.00E-68	13	136	1	128	96.88	A
DUF1935	260	258	2FE0	Q5SDH5_LEIMA	4.00E-60	15	117	1	103	100	A
DUF1954	748	116	3R2I	Q2FJL1_STAA3	9.00E-46	6	88	1	83	100	A
DUF1956	524	218	1T33	B5BC08_SALPK	5.00E-71	95	218	1	124	100	A
DUF1963	582	806	1PV5	YWQG_BACSU	1.00E-107	35	253	1	224	91.52	A
DUF1969	525	237	1QCN	FAAA_MOUSE	6.00E-54	14	115	1	104	98.08	A
DUF1989	722	402	3ORU	Q1GJV4_SILST	1.00E-84	34	194	1	167	96.41	A
DUF1993	336	262	2OQM	Q12RS4_SHEDO	5.00E-91	10	170	1	163	98.77	A
DUF2000	227	153	2GAX	A9CKI6_AGRT5	1.00E-68	2	130	1	133	96.99	A
DUF2002	288	133	2G7J	E8CM48_SALMO	8.00E-65	1	112	1	112	100	A
DUF2064	408	346	3CGX	Q30Y26_DESDG	8.00E-63	40	157	4	125	96.72	A
DUF2077	1112	482	4ACK	E2MQH5_FRANO	1.00E-80	7	152	1	147	99.32	A
DUF2088	443	433	2YJG	D9TQ02_THETC	3.00E-114	7	205	1	206	96.6	A
DUF2094	336	238	2QNU	A3LGP5_PSEAE	2.00E-54	2	136	1	138	97.83	A
DUF2156	1661	813	2HQY	Q8A1H2_BACTN	6.00E-167	20	294	1	275	100	A
DUF2200	283	134	3C9P	B5E2C0_STRP4	1.00E-59	5	113	1	111	98.2	A
DUF2218	244	169	2JPI	E2ZZK4_PSEAE	1.00E-51	4	92	1	89	100	A
DUF2219	395	549	3FID	B5BZP0_SALET	2.00E-165	19	296	1	278	100	A
DUF2233	1243	662	3OHG	A7LRK2_BACOV	3.00E-93	91	274	1	189	96.3	A
DUF2263	256	366	3SIG	D1AC29_THECD	4.00E-67	8	150	1	152	94.08	A
DUF2267	241	244	2YSK	Q72IR5_THET2	8.00E-71	14	141	1	128	100	A
DUF2470	428	228	2ARZ	Q9HW16_PSEAE	1.00E-35	150	230	1	81	100	A
DUF2479	424	368	3UH8	Q9AZ56_9CAUD	3.00E-65	3	118	1	121	95.87	A
DUF2500	471	222	2L0C	E7Z1I3_SALMO	8.00E-46	2	83	32	113	100	A
DUF2507	252	169	3NJC	E0TVX1_BACPZ	1.00E-65	24	144	1	125	96.8	A
DUF2520	610	300	3D1L	Q5LAQ6_BACFN	2.00E-65	124	247	1	128	96.88	A
DUF2529	208	262	3JX9	B1YEL3_EXIS2	3.00E-88	2	161	2	163	98.77	A
DUF2807	577	634	3LJY	A6LGH7_PARD8	2.00E-114	18	220	1	205	99.02	A
DUF2847	284	123	3IV4	C8LXB6_STAAU	4.00E-54	8	106	1	101	98.02	A
DUF2886	485	412	2IN5	C6EHM1_ECOBD	6.00E-89	1	185	6	198	95.85	A
DUF29	566	246	3FCN	Q2RPE2_RHORT	9.00E-62	4	145	1	146	96.58	A
DUF296	1095	314	2H6L	O30132_ARCFU	2.00E-53	8	124	1	119	98.32	A
DUF297	436	631	2AAM	Y1410_THEMA	9.00E-125	8	231	1	227	98.68	A
DUF3013	250	183	3NAT	E2Y1Z2_ENTFA	2.00E-80	4	153	2	160	94.34	A
DUF303	1393	1560	1ZMB	F0K6D0_CLOAE	2.00E-110	1	219	1	226	96.9	A
DUF3048	200	549	2PSB	YERB_BACSU	1.00E-156	5	274	1	279	96.77	A
DUF305	931	506	3BT5	Q9RVD0_DEIRA	9.00E-66	7	148	1	144	98.61	A
DUF3108	841	676	3FZX	Q64U79_BACFR	2.00E-107	1	200	18	228	94.31	A
DUF3168	709	287	2LFP	O48448_BPSPP	2.00E-69	13	132	1	120	100	A
DUF3231	285	225	2RBD	Q9KAD1_BACHD	6.00E-65	1	154	7	165	95.6	A
DUF3237	300	459	3C5O	Y1785_RHOPA	1.00E-79	2	147	1	150	97.33	A
DUF3251	446	310	2JWY	D8BYQ7_ECOLX	2.00E-90	1	160	1	160	99.38	A
DUF330	1200	421	2IQI	Q8PCT0_XANCP	4.00E-84	2	160	1	164	96.95	A
DUF3327	503	369	3C8D	D2A984_SHIF2	9.00E-70	16	142	1	136	93.38	A
DUF336	1722	341	3FPW	Q9RIM2_STRRE	1.00E-48	13	140	1	128	100	A
DUF3372	204	294	2FHC	C8TB57_KLEPR	2.00E-94	873	1039	1	167	100	A
DUF3378	540	140	2D0A	Q6L6Q4_GEOSE	1.00E-44	1	82	1	82	100	A
DUF3410	583	154	3OET	B5CES2_SALET	8.00E-44	283	363	1	82	98.78	A
DUF3412	547	135	2PMB	A5F319_VIBC3	4.00E-59	306	420	3	123	94.21	A
DUF3416	514	413	3ZSS	PEP1A_STRCO	1.00E-96	3	193	1	191	100	A
DUF3442	1190	690	4E1T	B1JP20_YERPY	3.00E-140	1	238	45	282	99.16	A
DUF3453	205	548	3ODR	Q5RC58_PONAB	2.00E-135	90	317	3	230	100	A
DUF3457	334	315	2KC5	E7J8P4_ECOLX	8.00E-89	8	158	1	151	100	A
DUF3458	1163	901	3PUU	E3PIV3_ECOH1	0	453	823	1	371	99.73	A
DUF3459	1594	321	1ZJB	Q2PS28_9PSED	2.00E-42	461	553	1	93	100	A
DUF3478	364	183	2OOK	Q087X8_SHEFN	8.00E-64	7	123	1	118	99.15	A
DUF3579	232	139	2L9D	Q1GYY4_METFK	1.00E-54	6	98	1	93	100	A
DUF364	261	255	3NPG	O59175_PYRHO	9.00E-74	102	241	1	144	97.22	A
DUF3662	360	155	2LC0	E9ZR28_MYCTU	1.00E-65	8	123	1	116	100	A
DUF3749	348	378	2K5T	Q8X6S6_ECO57	8.00E-63	2	125	1	124	99.19	A
DUF3828	274	239	3KZT	C6IUM9_9BACE	3.00E-60	17	129	1	116	97.41	A
DUF385	875	344	3R5R	E2URL7_MYCTU	6.00E-62	1	109	26	134	100	A
DUF3857	405	412	3KD4	A6LB40_PARD8	1.00E-98	15	187	1	176	98.3	A
DUF386	1764	396	1S4C	A4NG32_HAEIF	4.00E-78	1	134	1	134	100	A
DUF3862	200	304	3D4E	Q8DTX1_STRMU	4.00E-87	3	159	1	159	98.11	A
DUF3872	235	198	2L3B	Q8ABM6_BACTN	2.00E-67	2	117	22	137	100	A
DUF3988	688	1038	4EPS	A7M4E1_BACOV	3.00E-85	1	162	23	194	94.19	A
DUF399	451	553	2G5G	D3FLG2_CAMJI	4.00E-103	18	221	1	208	98.08	X
DUF4038	246	725	3KZS	C6IFT2_9BACE	7.00E-156	17	296	1	291	95.88	A
DUF4136	616	560	4F54	C6ISX0_9BACE	2.00E-60	3	169	1	179	92.18	A
DUF4147	633	484	1X3L	O58231_PYRHO	3.00E-125	8	244	1	237	100	A
DUF416	501	252	3F7C	A1TZ69_MARAV	7.00E-99	4	191	1	194	95.36	A
DUF419	1845	276	2KFP	Q880Y4_PSESM	5.00E-61	10	116	1	107	100	A
DUF427	819	236	3DJM	B9KMS1_RHOSK	5.00E-50	13	105	1	95	96.84	A
DUF4352	761	368	3CFU	YJHA_BACSU	9.00E-67	1	129	1	138	93.48	A
DUF436	558	195	1V8D	Y583_THET8	2.00E-80	6	175	1	174	96.55	A
DUF4375	271	226	3VJZ	Q9K0P4_NEIMB	2.00E-72	37	160	1	124	100	A
DUF440	428	117	1NNV	A4NIV8_HAEIF	1.00E-56	4	107	1	104	100	A
DUF442	570	232	3GXH	A1RQ63_SHESW	1.00E-48	28	120	16	111	96.88	A
DUF461	959	319	2K6Y	Q5SGY7_THET8	7.00E-59	5	114	3	112	100	A
DUF464	898	226	2IDL	F2B5T9_STRPN	6.00E-61	2	109	1	108	100	A
DUF480	575	184	3BZ6	Y2686_PSESM	1.00E-75	7	148	1	145	97.93	A
DUF489	627	286	1QZ4	C6UG23_ECOBR	2.00E-111	7	201	1	195	100	A
DUF493	1024	143	1RWU	E2K0P9_ECO57	8.00E-46	5	87	1	83	100	A
DUF498	718	326	2GM2	B0RTZ5_XANCB	3.00E-60	14	121	1	108	100	A
DUF519	1042	758	2OO3	Q5ZVZ2_LEGPH	2.00E-138	25	262	1	242	98.35	A
DUF520	1360	205	1IN0	E4QVS5_HAEI6	2.00E-91	1	161	2	162	100	A
DUF525	1081	273	1XQ4	APAG_BORPE	3.00E-48	16	104	1	90	98.89	A
DUF538	463	273	1YDU	Y5161_ARATH	2.00E-60	53	161	1	109	99.08	A
DUF54	211	182	2WNY	O26785_METTH	1.00E-56	6	120	1	115	99.13	A
DUF559	1165	395	3HRL	D1DTH5_NEIGO	1.00E-44	2	87	15	109	90.53	A
DUF576	1066	359	4EG9	Y2783_STAA8	2.00E-114	1	225	28	257	97.83	A
DUF600	654	253	2IA1	Q9K6M5_BACHD	2.00E-82	6	149	1	145	99.31	A
DUF608	472	1285	1V7V	Q76IQ9_VIBPR	3.00E-139	400	630	1	231	100	A
DUF615	881	423	2P0T	E2M774_PSESM	4.00E-78	1	142	17	159	99.3	A
DUF619	272	416	4AB7	E7Q2X6_YEASB	2.00E-98	236	403	1	168	100	A
DUF633	984	634	3LEC	Q8DZA6_STRA5	1.00E-106	23	217	1	201	97.01	A
DUF664	663	537	3CEX	E6FB81_ENTFA	5.00E-84	6	164	1	163	96.32	A
DUF706	239	474	3BXD	MIOX_MOUSE	4.00E-146	4	258	1	255	100	A
DUF718	940	262	2QLX	RHAM_RHILT	7.00E-46	5	99	1	101	94.06	A
DUF72	1667	650	1VPY	C7UK00_ENTFA	2.00E-121	14	239	8	249	93.39	A
DUF77	1210	188	1VK8	Q9WYV6_THEMA	5.00E-44	5	91	1	89	97.75	A
DUF830	1239	741	3KW0	Q74NK7_BACC1	6.00E-86	19	179	1	169	95.27	A
DUF849	922	677	3FA5	A1B7S1_PARDP	5.00E-139	3	266	1	271	96.68	A
DUF86	1164	332	1YLM	E8VK70_BACST	2.00E-62	7	125	1	122	97.54	A
DUF862	581	408	2WP7	PPDE2_RAT	5.00E-82	4	146	1	143	100	A
DUF866	262	451	1ZSO	Q8IDI8_PLAF7	2.00E-85	1	153	2	156	98.71	A
DUF871	978	523	2P0O	C2JLX0_ENTFA	0	2	332	2	357	92.13	A
DUF885	926	1722	3U24	Q8EE20_SHEON	0	19	530	1	533	95.87	A
DUF89	638	1083	3PT1	YMR7_YEAST	0	18	427	1	420	97.62	A
DUF91	555	610	2VLD	Y126_PYRAB	4.00E-107	24	223	1	209	95.69	A
DUF915	755	770	3FLE	Q8CRJ5_STAES	6.00E-111	1	236	10	254	93.47	A
DUF917	443	737	2O3I	Q7NTB2_CHRVO	2.00E-173	4	366	1	386	93.78	A
DUF924	621	496	2I6H	A9CKP1_AGRT5	5.00E-71	11	176	1	168	94.64	A
DUF925	479	253	2LA3	Q97SR5_STRPN	7.00E-91	25	190	1	166	100	A
DUF937	652	467	1Z67	D2AB73_SHIF2	3.00E-55	1	105	5	109	100	A
DUF952	472	236	2O0Q	Q9AAR9_CAUCR	7.00E-50	6	97	1	92	100	A
DUF960	327	146	2R41	E0GY03_ENTFA	8.00E-33	8	100	1	94	98.94	A
DUF961	621	181	2K5D	D4R4W6_ENTFC	2.00E-58	4	107	1	104	100	A
DUSP	432	436	4A3O	Q2HJE4_BOVIN	1.00E-47	22	108	1	93	93.55	A
dUTPase_2	580	435	2CIC	A8FNB8_CAMJ8	3.00E-99	6	181	1	182	96.7	A
Dynamin_M	1484	888	3T34	DRP1A_ARATH	2.00E-53	217	314	1	98	97.96	A
Dynein_light	772	285	3DVT	B4JA80_DROGR	7.00E-49	1	85	5	89	100	A
Dyp_perox	1750	1030	2Y4E	E9X5C3_ECOLX	0	22	372	1	351	100	A
E1_DerP2_DerF2	696	279	3VQ2	Q14AM4_MOUSE	3.00E-72	10	135	1	126	100	C
EAP30	444	680	1U5T	C7GXL8_YEAS2	4.00E-87	1	153	74	226	100	B
ECH_C	1222	332	3JU1	Q8EGC3_SHEON	3.00E-59	229	343	1	119	96.64	A
EcoR124_C	766	619	2W00	T1R1_ECOLX	3.00E-78	684	829	1	159	91.82	A
Ecotin	450	201	1ECZ	E9YBJ8_ECOLX	8.00E-74	7	133	1	127	100	A
EF1_GNE	613	279	1G7C	C8Z3H5_YEAS8	1.00E-47	4	90	1	87	100	B
efhand_1	331	495	1EG4	A1L0U9_HUMAN	6.00E-58	41	161	1	121	100	A
EI24	1198	667	3TX3	Q5QUJ8_IDILO	5.00E-106	5	194	1	205	92.68	A
eIF2_C	420	140	3SJZ	IF2G_SULSO	3.00E-47	320	407	1	88	100	A
Elicitin	293	148	1BEG	ELIB_PHYCR	1.00E-46	12	96	12	96	100	A
EMG1	335	579	3OII	E7KG20_YEASA	2.00E-112	16	210	1	204	95.59	A
Endonuclease_1	922	512	2G7F	A5F9H2_VIBC3	5.00E-124	1	206	5	210	100	A
Endonuclease_5	744	565	3GOC	NFI_STRAW	3.00E-82	19	219	1	201	100	A
Endonuclease_NS	1483	920	4A1N	EXOG_HUMAN	2.00E-128	18	229	1	212	100	A
Endotoxin_C	464	322	2C9K	Q7AL67_BACTI	2.00E-81	457	597	1	141	100	A
Ephrin	241	310	1SHX	Q17R05_BOVIN	4.00E-81	1	137	3	139	100	A
Ephrin_lbd	400	347	3ETP	F1MAJ0_RAT	5.00E-107	8	185	1	178	99.44	A
eRF1_1	800	347	2LLX	E2RBM3_CANFA	2.00E-77	7	141	1	135	100	A
ERO1	285	898	1RQ1	B3LLD0_YEAS1	0	11	346	1	351	95.73	A
ERp29	214	168	2C1Y	WBL_DROME	6.00E-45	126	221	1	96	100	A
Erythro_esteras	534	846	2RAD	Q81BN2_BACCR	4.00E-174	68	389	1	328	97.87	A
ETC_C1_NDUFA4	463	236	2LJU	Q40JK3_EHRCH	3.00E-57	8	104	1	97	100	A
ETF_QO	976	291	2GMJ	ETFD_PIG	7.00E-64	427	536	1	110	100	A
EutB	693	592	3ANY	D8EMK5_ECOLX	0	11	452	1	442	100	A
EVE	1067	372	2AR1	Q4Q067_LEIMA	5.00E-85	6	151	1	146	99.32	A
Evr1_Alr	590	284	3T58	QSOX1_MOUSE	4.00E-58	363	463	1	101	99.01	A
Exo70	602	1049	2B7M	B3LQ27_YEAS1	0	149	498	2	387	90.41	A
F-actin_cap_A	335	723	4AKR	CAPZA_DICDI	4.00E-160	5	269	1	265	100	A
F420_ligase	553	724	2PHN	COFE_ARCFU	1.00E-112	6	220	1	215	100	A
FA_desaturase_2	532	720	2XZ1	B9T0X0_RICCO	0	23	351	1	329	100	A
FAD_binding_9	1244	303	2GPJ	A4Y1H9_SHEPC	9.00E-49	7	99	1	95	97.89	A
Fae	288	206	1Y60	B7KXE2_METC4	9.00E-94	8	167	1	160	100	A
FBP	336	370	4ADO	Q2Z1A4_STAHA	1.00E-103	4	209	1	210	98.1	A
FbpA	1795	1564	1Z5C	D0KTT9_SULS9	2.00E-63	215	336	1	122	95.08	A
FBPase	1813	888	3KBZ	Q2TU34_HUMAN	7.00E-177	3	318	1	324	97.53	A
FBPase_glpX	1529	469	3RPL	P96017_9SYNC	0	6	336	1	333	99.4	B
FctA	955	376	3B2M	B8QYC1_STRPY	1.00E-48	98	186	1	89	100	A
FdhD-NarQ	1808	628	2PW9	Q6AMB9_DESPS	5.00E-117	24	231	1	228	91.23	A
FdhE	626	688	2FIY	FDHE_PSEAE	4.00E-121	1	282	14	300	98.26	A
FdtA	425	344	2PAE	Q6T1W8_ANETH	5.00E-76	1	131	1	131	99.24	A
FERM_C	1071	409	1J19	RADI_HUMAN	1.00E-51	209	298	1	90	100	A
FGase	1144	512	2ODF	A9CI91_AGRT5	1.00E-123	19	228	1	210	100	A
FhuF	1946	466	2W02	E0SIF0_DICD3	6.00E-90	410	570	1	161	98.14	A
Fimbrial_K88	256	445	2J6R	Q708I7_ECOLX	2.00E-131	7	253	1	257	96.11	B
FimH_man-bind	486	232	4AV5	D8BSL4_ECOLX	1.00E-82	3	147	1	145	100	A
FlaG	573	271	2HC5	YVYC_BACSU	1.00E-61	1	108	1	108	99.07	A
Flagellin_D3	543	184	1IO1	Q6JKG6_SALET	1.00E-43	134	227	1	94	100	A
Flavodoxin_NdrI	1348	327	2XOE	B3J913_BACAN	1.00E-61	3	111	1	109	100	A
Flexi_CP	1114	206	4DOX	CAPSD_PMV	2.00E-78	20	157	1	138	99.28	A
Flg_hook	1787	162	2RRL	E8GI04_SALMO	6.00E-34	75	157	1	83	100	A
FlhD	490	147	1G8E	E7I271_ECOLX	1.00E-54	1	98	1	98	100	A
FliG_C	1592	182	3HJL	FLIG_AQUAE	1.00E-57	214	321	1	108	100	A
FliM	1304	510	2HP7	B1L8C7_THESQ	8.00E-101	1	179	6	188	97.81	A
FliW	452	227	2AJ7	FLIW_BACHD	3.00E-63	28	147	1	121	95.87	A
FmdA_AmdA	1357	1053	3TKK	Q8R8S5_THETN	2.00E-74	5	152	1	149	99.33	A
FmdE	325	334	2GVI	Q9HJ63_THEAC	3.00E-73	13	150	1	143	95.8	A
Frataxin_Cyay	955	228	2P1X	E8IU61_ECOLX	5.00E-60	1	106	1	106	100	A
Fructosamin_kin	1263	1326	3JR1	Q0I3M3_HAES1	2.00E-168	7	293	2	290	99.31	A
FSH1	642	1142	1YCD	FSH1_YEAST	2.00E-134	1	228	3	230	99.56	A
FTCD	256	264	2PFD	FTCD_RAT	1.00E-82	176	320	1	145	100	A
FTR	207	206	1M5H	FTR_ARCFU	1.00E-83	1	144	1	144	98.61	A
Fucose_iso_C	913	290	3A9S	C0SSE7_9BACI	2.00E-100	388	557	1	170	100	A
Fumarate_red_C	480	198	3P4P	B3X5S8_SHIDY	2.00E-63	1	129	1	129	99.22	C
Fumble	665	1014	3SMS	PANK3_HUMAN	0	2	350	1	356	98.03	A
Furin-like	549	395	1NQL	EGFR_HUMAN	1.00E-95	151	312	1	162	100	A
Fz	1014	384	4F0A	A2RTK9_MOUSE	2.00E-67	1	115	1	115	100	A
G-alpha	1861	1773	3V00	GNAT1_BOVIN	0	4	351	1	348	92.53	A
G3P_antiterm	690	257	3KTS	Q71ZR5_LISMF	9.00E-101	9	182	1	174	100	A
Gal_Lectin	981	278	2JX9	E2R3S4_CANFA	2.00E-45	20	100	1	81	100	A
Gal-bind_lectin	1213	453	4FQZ	B1ANL9_HUMAN	2.00E-78	18	151	1	134	100	A
Gar1	485	374	3U28	E7NIJ4_YEASO	5.00E-53	1	92	20	111	100	C
GBP	588	911	3QNU	Q69YH7_HUMAN	2.00E-155	13	275	1	272	96.69	A
GCD14	856	1334	1I9G	D5ZIX6_MYCTU	1.00E-133	5	250	1	246	100	A
GCHY-1	674	402	3D1T	E8SM36_NEIGO	2.00E-126	1	231	11	249	95.82	A
GCS	310	800	3LVV	B5VL71_YEAS6	0	252	646	1	395	100	A
GCS2	1485	971	1R8G	CAAL_ECOBW	1.00E-138	12	265	1	279	91.04	A
GDA1_CD39	919	1434	3AAQ	Q5ZUA2_LEGPH	8.00E-120	1	205	6	214	97.61	A
GDI	734	1546	1D5T	GDIA_BOVIN	0	3	433	1	431	99.77	A
GFP	278	357	3SSV	B6UPG7_NEIGO	4.00E-130	6	227	1	225	97.78	A
GH3	647	1059	4EQ4	GH312_ARATH	0	2	518	1	555	91.89	A
GlcNAc_2-epim	1191	1177	2GZ6	A4UA16_9NOST	0	32	360	1	343	95.92	A
GLF	897	416	3MJ4	Q9RYF1_DEIRA	4.00E-118	150	346	1	197	100	A
GLTP	434	389	3RZN	F1RIT2_PIG	1.00E-91	13	166	1	154	100	A
Glu_cyclase_2	305	772	2FAW	O81226_CARPA	4.00E-138	1	234	27	260	100	A
Glu_cys_ligase	1097	614	2D33	C2DX64_ECOLX	0	6	373	1	376	97.07	A
Glucokinase	1126	1201	1SZ2	B3XKJ4_ECOLX	5.00E-164	4	309	1	311	98.39	A
Glutaminase	1642	526	3VOY	B3KM58_HUMAN	9.00E-174	26	312	1	287	100	A
Glutaredoxin2_C	427	167	1G7O	Q3Z352_SHISS	1.00E-74	84	215	1	132	100	A
Glyco_hydro_101	265	763	3ECQ	GH101_STRR6	0	447	880	1	442	98.19	A
Glyco_hydro_108	574	219	2NR7	Q7MXB3_PORGI	8.00E-42	7	100	1	94	100	A
Glyco_hydro_11	637	475	3AKR	B0FXM0_9HYPO	8.00E-103	7	188	1	182	100	A
Glyco_hydro_12	386	534	3VHP	Q9S5X8_THEMA	4.00E-100	81	254	1	174	100	A
Glyco_hydro_14	471	950	1V3I	Q588Z6_SOYBN	0	10	432	1	423	99.29	A
Glyco_hydro_17	1652	1030	3UR8	Q70C53_SOLTU	0	3	314	1	312	100	A
Glyco_hydro_19	1638	887	1DXJ	O81934_CANEN	2.00E-128	5	234	1	230	100	A
Glyco_hydro_26	613	1175	2VX6	B3PGI1_CELJU	0	5	316	1	312	100	A
Glyco_hydro_30	789	1968	1OGS	GLCM_HUMAN	0	1	494	1	494	100	A
Glyco_hydro_35	1542	1261	4E8C	Q97T90_STRPN	0	8	328	1	321	100	A
Glyco_hydro_39	314	1594	1W91	D7D6C0_GEOSC	0	1	480	4	483	97.92	A
Glyco_hydro_47	1235	2232	1KRE	MAN12_PENCI	0	12	473	1	462	100	A
Glyco_hydro_53	426	933	1FHL	GANA_ASPAC	6.00E-173	4	331	1	328	100	A
Glyco_hydro_56	275	496	1FCU	HUGA_APIME	0	1	324	10	333	100	A
Glyco_hydro_61	534	613	4EIR	Q8WZQ2_NEUCR	2.00E-125	1	214	17	230	99.53	A
Glyco_hydro_67C	218	383	1GQK	Q8VP74_9GAMM	2.00E-140	450	680	1	231	100	A
Glyco_hydro_68	211	844	1PT2	A8S4C2_9CLOT	0	4	437	1	434	99.77	A
Glyco_hydro_72	494	754	2W61	GAS2_YEAST	0	1	312	3	320	97.8	A
Glyco_hydro_76	911	1389	3K7X	Q92DQ0_LISIN	0	2	324	1	329	97.26	A
Glyco_hydro_8	821	1241	2DRO	REOX_BACHD	0	50	369	1	320	99.69	A
Glyco_hydro_85	351	828	2VTF	Q9ZB22_9MICC	1.00E-177	59	369	1	311	99.68	A
Glyco_hydro_88	1693	1489	2GH4	URHG2_BACSU	0	6	358	1	353	99.72	A
Glyco_hydro_92	1628	1541	2WZS	Q8A0N1_BACTN	0	209	718	1	510	100	A
Glyco_hydro_97	626	2007	3A24	Q8A6L0_BACTN	0	6	641	8	643	100	A
Glyco_tranf_2_5	264	597	2QGI	YAT6_RHOBL	6.00E-123	17	222	1	206	100	A
Glyco_trans_4_2	1348	748	3MBO	C2MYM7_BACCE	1.00E-67	27	147	1	125	96	A
Glyco_transf_10	935	1189	2NZY	O30511_HELPY	2.00E-105	121	300	1	180	100	A
Glyco_transf_15	485	804	1S4P	C7GKS2_YEAS2	8.00E-172	1	284	53	340	98.61	A
Glyco_transf_20	1884	1571	1GZ5	D6HY41_ECOLX	0	1	448	1	452	99.12	A
Glyco_transf_29	1200	755	2WML	SIA4A_PIG	3.00E-143	24	273	1	262	95.04	A
Glyco_transf_34	463	700	2P6W	Q98VK7_PBCV1	1.00E-55	8	116	1	109	100	A
Glyco_transf_41	1417	1377	3TAX	OGT1_HUMAN	0	232	681	1	469	95.95	A
Glyco_transf_43	411	537	2D0J	B3GA2_CANFA	1.00E-117	24	224	1	205	98.05	A
Glyco_transf_52	258	529	2YK4	F0N2B7_NEIMO	2.00E-144	24	285	1	271	96.68	A
Glyco_transf_6	428	500	1VZX	GGTA1_BOVIN	2.00E-172	1	285	44	328	99.65	A
Glyco_transf_64	345	625	1ON6	EXTL2_MOUSE	3.00E-144	5	248	1	255	95.69	A
Glycoamylase	510	506	3EU8	Q64ZD6_BACFR	7.00E-120	182	395	1	220	97.27	A
Glycogen_syn	599	1360	3RT1	E7NKU1_YEASO	0	11	638	1	628	99.68	A
Glycolytic	1671	626	2OT0	ALDOA_RABIT	0	14	356	1	350	98	A
Glycoprotein_B	1110	978	3NWA	A1Z0P6_HHV1	0	8	608	1	615	97.24	A
Glycos_transf_N	1610	397	2XCU	O66663_AQUAE	2.00E-95	2	168	1	167	100	A
Glyoxalase_3	700	649	3P8A	D6UG61_STAAU	2.00E-107	4	205	1	209	94.74	A
Glyoxalase_4	1463	644	3OA4	Q9KCV1_BACHD	3.00E-49	6	116	1	111	100	A
Glyphos_transf	1819	1261	3L7L	D1WKK0_STAEP	0	26	403	1	378	99.74	A
GMP_PDE_delta	206	293	3T5I	PDE6D_HUMAN	2.00E-84	6	149	1	144	100	A
GNT-I	245	1224	2AM5	MGAT1_RABIT	0	1	341	95	435	100	A
GPP34	376	569	2ZIH	A6ZYX0_YEAS7	2.00E-147	8	260	1	253	100	A
GRASP55_65	391	392	4EDJ	B4DNR1_HUMAN	4.00E-83	60	202	13	155	99.3	A
GSH_synthase	327	289	3KAJ	Q9M426_SOYBN	1.00E-58	197	299	1	103	100	A
GSH-S_ATP	1235	684	1GSA	B3IFN0_ECOLX	2.00E-102	124	298	1	175	100	A
GshA	230	509	3K1T	Q1GYA6_METFK	0	17	411	1	403	97.52	A
GSP_synth	1338	236	2VOB	Q711P7_LEIMA	4.00E-67	382	496	1	115	100	A
GspH	1096	402	2KNQ	B1IPX0_ECOLC	2.00E-57	28	129	13	114	100	A
Gtr1_RagA	447	1263	2Q3F	D2HK28_AILME	3.00E-95	5	175	3	176	97.13	A
GUN4	308	331	1Z3X	Q8DIJ1_THEEB	8.00E-78	100	234	1	135	100	A
H_PPase	1185	1841	4A01	O22124_VIGRA	0	18	726	1	734	96.46	A
Haemagg_act	1435	296	2ODL	A5UCI6_HAEIE	3.00E-53	1	107	8	117	97.27	A
Hat1_N	209	531	2P0W	HAT1_HUMAN	4.00E-96	4	165	1	162	100	A
HCaRG	578	472	2H2M	COMD1_HUMAN	1.00E-54	13	108	1	96	100	A
HD_2	282	430	3MZO	E3ZAJ6_LISIN	9.00E-114	2	205	2	209	98.08	A
HD_3	1703	514	4DMB	HDDC2_HUMAN	3.00E-67	12	165	1	161	93.17	A
HDPD	461	384	1TD0	E1RT90_ECOUM	3.00E-56	1	101	10	110	100	A
Hema_esterase	338	578	3I26	HEMA_BRV2	0	1	360	16	379	98.9	A
